manuscript	status	language	material	period	site	composition_type	ir_images	ir_recto	ir_with_sqe_match	ir_with_etcbc_fragment	ir_single_text_fragment	ir_exact_link	sqe_editions	etcbc_scroll	etcbc_fragments	etcbc_preserved	etcbc_certain	etcbc_fragments_imaged	etcbc_preserved_imaged	etcbc_scrolls_via_images
11Q1	excluded: Paleo-Hebrew script	Hebrew	Parchment	Herodian	Qumran, Cave 11	Scripture	52	52	18	18	16	18	1022	11Q1	36	3787	3618	6	962	11Q1
11Q10	square	Aramaic	Parchment	Herodian	Qumran, Cave 11	Translation of Scripture	34	34	16	16	15	16	643	11Q10	59	5651	5132	9	753	11Q10
11Q11	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Poetical/Liturgical Texts	6	6	4	4	3	4	644	11Q11	11	1003	873	5	43	11Q11
11Q12	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Parabiblical Texts	13	13	13	13	13	13	645	11Q12	14	319	270	12	287	11Q12
11Q13	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 11	Exegetical Texts	19	19	13	13	13	13	646	11Q13	10	1019	822	8	1007	11Q13
11Q14	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Sectarian Texts	4	3	4	4	2	3	647	11Q14	5	418	399	3	409	11Q14
11Q15	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Poetical/Liturgical Texts	4	4	4	4	4	4	648	11Q15	4	109	99	4	109	11Q15
11Q16	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Poetical/Liturgical Texts	1	1	0	0	0	0	649	11Q16	2	93	86	0	0	
11Q17	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Poetical/Liturgical Texts	42	42	16	16	16	16	650	11Q17	23	1469	1284	15	1226	11Q17
11Q18	square	Aramaic	Parchment	Herodian	Qumran, Cave 11	Parabiblical Texts	47	45	47	47	35	47	651	11Q18	43	1998	1782	40	1965	11Q18
11Q2	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Scripture	7	7	6	6	4	6	1023	11Q2	10	186	155	7	110	11Q2
11Q20	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Legal Texts	66	66	37	37	37	37	653	11Q20	28	2165	1938	26	2148	11Q20
11Q21	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Legal Texts	3	3	3	3	3	3	654	11Q21	3	101	78	3	101	11Q21
11Q22	excluded: Paleo-Hebrew script	Hebrew	Parchment	Hasmonean	Qumran, Cave 11	Unidentified Text	3	3	3	3	3	3	655	11Q22	7	77	66	3	15	11Q22
11Q23	excluded: Cryptic A script	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 11	Unidentified Text	4	4	4	4	4	4	656	11Q23	3	7	5	3	7	11Q23
11Q24	square	Aramaic	Parchment	Hasmonean	Qumran, Cave 11	Unidentified Text	1	1	0	0	0	0	1058		0	0	0	0	0	
11Q25	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Unidentified Text	5	5	5	5	5	5	657	11Q25	8	59	42	5	46	11Q25
11Q26	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Unidentified Text	2	2	2	2	2	2	658	11Q26	3	15	14	2	13	11Q26
11Q27	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 11	Unidentified Text	3	3	3	3	3	3	659	11Q27	2	10	10	2	10	11Q27
11Q28	excluded: language 'Unidentified'	Unidentified	Papyrus	Hellenistic-Roman	Qumran, Cave 11	Unidentified Text	2	2	0	0	0	0	1059		0	0	0	0	0	
11Q3	square	Hebrew	Parchment	Herodian	Qumran, Cave 11	Scripture	1	1	1	1	1	1	1024	11Q3	4	53	41	1	24	11Q3
